Departamento,Población 2001,Población 2010,Variación absoluta,Variación relativa (%)
Total,3000701,3194537,193836,6.5
Belgrano,41449,44788,3339,8.1
Caseros,79096,82100,3004,3.8
Castellanos,162165,178092,15927,9.8
Constitución,83045,86910,3865,4.7
Garay,19913,20890,977,4.9
General López,182113,191024,8911,4.9
General Obligado,166436,176410,9974,6.0
Iriondo,65486,66675,1189,1.8
La Capital,489505,525093,35588,7.3
Las Colonias,95202,104946,9744,10.2
Nueve de Julio,28273,29832,1559,5.5
Rosario,1121441,1193605,72164,6.4
San Cristóbal,64935,68878,3943,6.1
San Javier,29912,30959,1047,3.5
San Jerónimo,77253,80840,3587,4.6
San Justo,40379,40904,525,1.3
San Lorenzo,142097,157255,15158,10.7
San Martín,60698,63842,3144,5.2
Vera,51303,51494,191,0.4
